Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
big-dumbo-ear-guppy,BIG DUMBO EAR GUPPY,"<p>Platinum red tail Dumbo Ear guppies have blue pectoral fins and their tail and dorsal fins have a red</p>
<p>Priced for one. Please let us know if you want male or female guppy at hello@aquaticswandesign.com.au</p>",Duckaroo,,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,45.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/bigearguppies5-600x600.jpg?v=1697192314,1,"",false,,,,,,,,,,,,,,,,kg,,,active
big-dumbo-ear-guppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/received-846888906936688.jpg?v=1697192314,2,"",,,,,,,,,,,,,,,,,,,,
big-dumbo-ear-guppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/received-1447250549170132.jpg?v=1697192313,3,"",,,,,,,,,,,,,,,,,,,,
anubias-coffeefolia,Anubias Coffeefolia,"<p>Handmade</p>
<p>- You get 1 loose Anubias Coffeefolia .The photo is a sample from our stock. Portion: 1 cutting with 4-6 leaves</p>
<p>- Plants convert carbon dioxide into oxygen and absorb nutrients from water that are derived from fish waste.</p>
<p>- Your plants are 100% satisfaction guaranteed.</p>",Duckaroo,,"",bestsellers,true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,35.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/image-adb60848-5d7e-40ca-b8ca-0ee41086d559_720x_8b38e387-eda4-4c1a-9ef6-8ba904e89b60.jpg?v=1697191693,1,"",false,,,,,,,,,,,,,,,,kg,,,active
anubias-coffeefolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/image-bc010ce5-62f5-4059-bf05-05b89bcea399_720x_09acee1d-76b7-4c7f-b37a-d9715d8edfbf.jpg?v=1697191693,2,"",,,,,,,,,,,,,,,,,,,,
red-dragon-guppy-in-pair,Red Dragon Guppy in Pair,"<p><meta charset=""utf-8""><span>1 Pair ( Male and Female )  of young Red Dragon Guppy. </span></p>
<p>Red Dragon Guppy Pair (One Male/One Female) requires at least a 10g tank and is very tolerant of changing tank conditions. Plants should be hardy varieties such as Java Fern and Java Moss that can handle the increased hardness in the tank. Other peaceful fish would make good tank mates.</p>
<p>With Red Dragon Guppy, the males are smaller in size, have brighter coloration, along with a bigger tail fin, and pointed anal fin. The guppy fish are green and yellow with great coloration over the entire body and tail.  The females are larger in size with a duller coloration, and have a rounded anal fin, as well as a pregnancy patch on the lower portion of the body. Ideally, the environment should have a covering of floating plants or a place to hide and protect the fry. The fry should be fed brine shrimp, micro food, and pulverized flakes.</p>",Aquatic Swan Design,,Product_Shrimps,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,55.00,70.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/files/red-dragon-guppy.jpg?v=1683685223,1,"",false,,,,,,,,,,,,,,,,kg,,20.00,active
guppy-grass,Guppy Grass,"<table align=""center"">
<tbody>
<tr>
<td>
<div id=""ds_div"">
<p>Guppy “Najas” Grass Live Aquarium Plant Fish Tank Pond Stem Aquatic Freshwater.</p>
<p>Each portion will contain 4-5 stems, around 8cm each</p>
<p>Guppy grass (Najas guadalupensis) is a fast-growing aquatic plant species commonly known by the names – Common water nymph and Najas grass. It is popular in the aquarium hobby for its use in guppy tanks by beginner, intermediate and expert aquarists.</p>
<br>
<p>Guppy grass provides the best hiding spots for fry, and adult fish like to swim around it. This plant is fairly hardy and versatile. It can be floated in the water column or rooted in the substrate, and it can thrive without CO2 injection as well.</p>
<br>
<p>If you are considering adding Guppy grass to your tank, then you will definitely find this article helpful. This article provides a lot of information about Najas grass; these include background information about this plant, how to plant and care for it in an aquarium.</p>
</div>
</td>
</tr>
</tbody>
</table>
<p> </p>",Duckaroo,,Product_Plants,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,9.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/s-l400_1.jpg?v=1656498338,1,"",false,,,,,,,,,,,,,,,,kg,,3.00,active
guppy-grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/20220629_201842.jpg?v=1656498338,2,"",,,,,,,,,,,,,,,,,,,,
guppy-grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/s-l400_10ea019c-78ea-4f8b-bc4f-260c9023d8c4.jpg?v=1656498338,3,"",,,,,,,,,,,,,,,,,,,,
anubias-chili-submerged-limited-stock,Anubias Chili - Submerged/Limited stock,"<p>Common Name: Anubias Chili </p>
<p>***<strong> Priced per one cutting: Around 5-6 leaves.</strong></p>
<p>Anubias Chili is an extremely rare variant in the Anubias family that is highly sought after due to its small leaves. Smaller than the more commonly known, Anubias Nana Petite, Anubias Chili resembles Anubias Pangolino, another rare variant of Anubias. Anubias Chili has very small leaves that resemble small chili peppers and is very easy to care for in a planted aquarium. Like all Anubias plants, Anubias Chili is also very slow growing and does not require too much care to do well in a planted tank. </p>
<p>Like other Anubias, this variant is a flowering plant that grows best when the rhizome is attached to a hard surface such as aquarium wood or stones. Anubias species have low to medium light requirements and can benefit from regular fertilization along with CO2 injection. While CO2 is not necessary, it can promote faster growth and more robust leaves. Since Anubias are slow growers, the leaves are susceptible to algae growth if placed under lighting that is too strong.  </p>
<p>Propagation is easy and straightforward; simply cut or pull apart rhizomes to be replanted. <span>Make sure to keep the rhizomes above your substrate or the plant has the potential to rot.  </span></p>
<p><b>Notes:</b></p>
<ul>
<li><span>Anubias are strong plants that can thrive in a variety of environments.</span></li>
<li>
<span>These epiphytes can be planted above the substrate or attached to hardscape</span>.</li>
<li>Burying the rhizome, will cause the plant to melt and die.</li>
<li><span>Do not make drastic changes to the aquarium. Unstable parameters will result in melt and rotting of the aquarium plant.</span></li>
<li><span>CO2 injection and quality aquarium soil will yield better growth.</span></li>
<li><span>Please research appropriately to ensure your plant thrives.</span></li>
</ul>
<p>Family Name: Araceae</p>
<p>Origin: West Africa</p>
<p>Height: 1-2”</p>
<p>pH: 6-7.5</p>
<p>Care: Easy</p>
<p>Light: Low</p>
<p>Co2: Not necessary</p>
<p>Propagation: Separate by rhizome</p>
<p>Growth rate: Slow to moderate</p>",Duckaroo,,Product_Bucep,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,95.00,110.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/293180475_5420867977972666_7915547400823473435_n.jpg?v=1657578676,1,"",false,,,,,,,,,,,,,,,,kg,,30.00,active
anubias-chili-submerged-limited-stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/293215129_5420868417972622_799210120479876259_n.jpg?v=1657578676,2,"",,,,,,,,,,,,,,,,,,,,
anubias-chili-submerged-limited-stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/293312319_5420866454639485_1736960447946373649_n.jpg?v=1657578676,3,"",,,,,,,,,,,,,,,,,,,,
anubias-chili-submerged-limited-stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/293413259_5420868281305969_8767469472275905604_n.jpg?v=1657578676,4,"",,,,,,,,,,,,,,,,,,,,
anubias-chili-submerged-limited-stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/293511771_5420868097972654_3708247941433643659_n.jpg?v=1657578676,5,"",,,,,,,,,,,,,,,,,,,,
anubias-chili-submerged-limited-stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/FB_IMG_1655898173344.jpg?v=1657578676,6,"",,,,,,,,,,,,,,,,,,,,
anubias-chili-submerged-limited-stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/FB_IMG_1655898170433.jpg?v=1657578676,7,"",,,,,,,,,,,,,,,,,,,,
cello-koi-betta-unsex,Cello Koi Betta- Unsex,"<meta charset=""utf-8"">
<p style=""text-align: left;""><span data-mce-fragment=""1"">A cellophane betta is a betta with no color, so pretty much flesh colored with clear fins. All cellophanes, like all bettas, do carry one of the three iridescent colors: Green, royal blue or steel blue. Meaning that if you were to flash your flashlight on them you would see traces of one of the three above colors, usually on body and at the base of fins. Because cellophanes do not show any pigment, you can oftentimes see through their body (to some degree) and can decipher eggs, spines etc... But I must state right away that cellophane bettas DO NOT look like ""glass fish"" (where you can see EVERYTHING!). They are primarily flesh colored and NOT transparent.</span></p>",Aquatic Swan Design,Animals & Pet Supplies,Product_Shrimps,#fish #betta #bettas #bettafish #fightingfish #bettasplendens #siamesefightingfish #bettaholic #bettafancy #bettabreeder,true,Title,Default Title,,,,,,,,'20,0.0,shopify,deny,manual,14.99,35.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/121117104_2749449231824255_4179028166434377899_n.jpg?v=1652747787,1,"",false,,,,,,,,,,,,,,,,kg,,10.00,active
black-foot-apple-snail-jade-mystery-snail,Black Foot Apple Snail- Jade Mystery Snail,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><strong>Size: </strong>﻿around 20 cent coin size</p>
<p data-mce-fragment=""1"">Apple Snail is very popular in Aquarium Hobby. They are large freshwater snail and do not require any special maintenance.<br></p>
<span data-mce-fragment=""1"">Is apple snail good for an aquarium?</span>
<p data-mce-fragment=""1"">Yes, they are very helpful low maintenance aquarium snail, to clean up aquarium algae. If you want a cleaner tank then you should use Apple Snail in your aquarium.</p>
<span data-mce-fragment=""1"">How long do apple snails live?</span>
<p data-mce-fragment=""1"">For apple snail, their life expectancy is very much influenced by water temperature. Generally, They Can Live for<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">3 to 4 years</b>.</p>
<span data-mce-fragment=""1"">Can apple snails kill fish?</span>
<p data-mce-fragment=""1"">No, snails don’t kill fish, they eat tank algae, uneaten fish food, or any dead matter in the tank to maintain proper tank health.</p>
<span data-mce-fragment=""1"">How much and How often should I feed my Apple Snail?</span>
<p data-mce-fragment=""1"">Apple Snail eats a lot and produces a lot of west, so you have to closely monitor that. If you have a tank full of algae then you don’t have to feed them often.</p>",Aquatic Swan Design,,Product_Shrimps,#applesnail #aquarium #mysterysnail #snail #applesnails #aquariumhobby #mysterysnails #plantedtank #aquascaping #fishtank #freshwateraquarium #plantedaquarium,true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,15.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/images.jpg?v=1652746822,1,"",false,,,,,,,,,,,,,,,,kg,,,active
black-foot-apple-snail-jade-mystery-snail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/jade__69647.1607349242.jpg?v=1652746823,2,"",,,,,,,,,,,,,,,,,,,,
apple-snail-mystery-snail,Apple Snail - Mystery Snail,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><strong>Size</strong>: around 10 cent size or bigger (while stock last)</p>
<p data-mce-fragment=""1"">Apple Snail is very popular in Aquarium Hobby. They are large freshwater snail and do not require any special maintenance.</p>
<span data-mce-fragment=""1"">Is apple snail good for an aquarium?</span>
<p data-mce-fragment=""1"">Yes, they are very helpful low maintenance aquarium snail, to clean up aquarium algae. If you want a cleaner tank then you should use Apple Snail in your aquarium.</p>
<span data-mce-fragment=""1"">How long do apple snails live?</span>
<p data-mce-fragment=""1"">For apple snail, their life expectancy is very much influenced by water temperature. Generally, They Can Live for<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">3 to 4 years</b>.</p>
<span data-mce-fragment=""1"">Can apple snails kill fish?</span>
<p data-mce-fragment=""1"">No, snails don’t kill fish, they eat tank algae, uneaten fish food, or any dead matter in the tank to maintain proper tank health.</p>
<span data-mce-fragment=""1"">How much and How often should I feed my Apple Snail?</span>
<p data-mce-fragment=""1"">Apple Snail eats a lot and produces a lot of west, so you have to closely monitor that. If you have a tank full of algae then you don’t have to feed them often.</p>",Duckaroo,,Product_Shrimps,"",true,Size,Around 20 cent coin size,,,,,,,,"",0.0,shopify,deny,manual,9.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/1-1.webp?v=1652745847,1,"",false,,,,,,,,,,,,,,,,kg,,1.00,active
apple-snail-mystery-snail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/apple-snail-pomacea-bridgesii.jpg?v=1652745847,2,"",,,,,,,,,,,,,,,,,,,,
apple-snail-mystery-snail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/big-apple-snail-500x500.jpg?v=1652745846,3,"",,,,,,,,,,,,,,,,,,,,
willow-moss,Willow moss,"<meta charset=""utf-8"">
<p><br></p>
<ul>
<li><span face=""Arial"" style=""font-family: Arial;"">Willow moss is ones of largest moss and new to the hobby, but has been growing in popularity as a carpet moss. Willow moss is very similar to Java moss. Willow moss is graceful and delicate, resembling the willow tree from which it takes its name. This moss is an excellent choice for creating a softer, more natural look to driftwood and rocks in your tank.</span></li>
<li>
<p>Family Name: Fontinalaceae</p>
</li>
<li>
<p> </p>
<p><strong>Portion: 5x5 cm mess</strong></p>
</li>
<li>
<p>Height: 2-10cm</p>
<p>pH: 6.0-7.5</p>
<p>Care: Easy</p>
<p>Light: Low to medium </p>
<p>Propagation: Cut and attach to desired surface</p>
<p>Growth rate: Medium</p>
</li>
<li>
<p>Origin: Widespread</p>
</li>
</ul>",Duckaroo,,Product_Plants,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,15.00,20.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/willow-moss-Fontinalis-Antipyretica.webp?v=1652650402,1,"",false,,,,,,,,,,,,,,,,kg,,5.00,active
rotala-ramosior-florida,Rotala ramosior Florida,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><strong>Portion: </strong>﻿3 stems, around 5cm each stem.</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">Rotala ramosior Florida is an attractive stem plant with small deep purple leaves and a green stem. The plant was collected from Florida, USA as its name suggests. It is demanding in terms of light and CO2 and is not suitable for low tech/non CO2 injected tanks. It is not yet widely cultivated by large scale commercial aquatic plant farms, but can be found readily among hobbyist aquatic plant collectors.</p>
<p data-mce-fragment=""1"">Rotala ramosior Florida is a slower growing stem plant. Its moderate height gain and small size makes it ideal for midground/foreground placement in the tank.</p>
<p data-mce-fragment=""1"">Higher light levels give more intensely purple leaves. In lower light tanks with poor growth parameters the leaves will be greener or off colored. When grown well, its leaves are almost completely deep purple. </p>",Duckaroo,,Product_Plants,"",true,Title,Default Title,,,,,,,,'3,0.0,shopify,deny,manual,22.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/rotala_florida_1639038320_167b8ed6_progressive.jpg?v=1652650045,1,"",false,,,,,,,,,,,,,,,,kg,,5.00,active
rotala-ramosior-florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/rotala_ramosior_florida_1549427720_a1d58383_progressive.jpg?v=1652650045,2,"",,,,,,,,,,,,,,,,,,,,
